++ dirname queue_clean.sh
+ cd .
+ R=/media/dell/DATA/ovss/runs
+ CK=/media/dell/DATA/ovss/checkpoints/sam_vit_b_01ec64.pth
+ PV=perturbed_vocabs
+ for M in sclip clearclip maskclip naclip
+ python probe_d1sam.py --variant sclip --dataset voc21 --offset 0 --limit 100000 --skip-dev --vabs-vocab perturbed_vocabs/voc21_plain_vabs64.json --rand-vocab perturbed_vocabs/voc21_plain_randneg64.json --sam-ckpt /media/dell/DATA/ovss/checkpoints/sam_vit_b_01ec64.pth --out /media/dell/DATA/ovss/runs/clean_voc_sclip.json
/media/dell/DATA/ovss/miniconda3/envs/ovss/lib/python3.10/site-packages/segment_anything/build_sam.py:105: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  state_dict = torch.load(f)
[1100] pix=53.38 sam=56.74 samrand=50.37
[1110] pix=53.37 sam=56.74 samrand=50.41
[1120] pix=53.37 sam=56.69 samrand=50.47
[1130] pix=53.34 sam=56.72 samrand=50.43
[1140] pix=53.32 sam=56.69 samrand=50.32
[1150] pix=53.32 sam=56.72 samrand=50.27
[1160] pix=53.23 sam=56.56 samrand=50.30
[1170] pix=53.29 sam=56.62 samrand=50.32
[1180] pix=53.29 sam=56.60 samrand=50.29
[1190] pix=53.34 sam=56.70 samrand=50.40
[1200] pix=53.24 sam=56.56 samrand=50.23
[1210] pix=53.26 sam=56.58 samrand=50.25
[1220] pix=53.19 sam=56.46 samrand=50.23
[1230] pix=53.15 sam=56.44 samrand=50.22
[1240] pix=53.12 sam=56.44 samrand=50.23
[1250] pix=53.09 sam=56.41 samrand=50.22
[1260] pix=53.05 sam=56.39 samrand=50.21
[1270] pix=53.03 sam=56.38 samrand=50.21
[1280] pix=53.07 sam=56.41 samrand=50.25
[1290] pix=53.03 sam=56.34 samrand=50.19
[1300] pix=53.05 sam=56.37 samrand=50.22
[1310] pix=52.95 sam=56.23 samrand=50.12
[1320] pix=52.86 sam=56.12 samrand=50.10
[1330] pix=52.80 sam=56.08 samrand=50.10
[1340] pix=52.83 sam=56.12 samrand=50.16
{
 "pix_vabs": 52.91,
 "sam_reg_vabs": 56.13,
 "sam_reg_rand": 50.18
}
+ for M in sclip clearclip maskclip naclip
+ python probe_d1sam.py --variant maskclip --dataset voc21 --offset 0 --limit 100000 --skip-dev --vabs-vocab perturbed_vocabs/voc21_plain_vabs64.json --rand-vocab perturbed_vocabs/voc21_plain_randneg64.json --sam-ckpt /media/dell/DATA/ovss/checkpoints/sam_vit_b_01ec64.pth --out /media/dell/DATA/ovss/runs/clean_voc_maskclip.json
/media/dell/DATA/ovss/miniconda3/envs/ovss/lib/python3.10/site-packages/segment_anything/build_sam.py:105: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  state_dict = torch.load(f)
[10] pix=48.17 sam=55.58 samrand=52.60
[20] pix=36.12 sam=41.94 samrand=38.74
[30] pix=36.43 sam=42.56 samrand=38.35
[40] pix=35.22 sam=42.84 samrand=38.74
[50] pix=38.83 sam=46.93 samrand=42.50
[60] pix=40.32 sam=49.44 samrand=43.69
[70] pix=41.47 sam=49.84 samrand=45.08
[80] pix=43.80 sam=51.31 samrand=47.15
[90] pix=43.89 sam=51.28 samrand=46.81
[100] pix=43.86 sam=51.01 samrand=46.89
[110] pix=44.17 sam=51.15 samrand=47.16
[120] pix=44.22 sam=51.42 samrand=47.41
[130] pix=44.00 sam=51.21 samrand=46.97
[140] pix=44.26 sam=51.62 samrand=47.35
[150] pix=44.00 sam=50.52 samrand=47.14
[160] pix=44.16 sam=50.64 samrand=47.24
[170] pix=43.93 sam=50.63 samrand=46.99
[180] pix=44.11 sam=50.51 samrand=46.75
[190] pix=44.68 sam=51.11 samrand=47.16
[200] pix=44.76 sam=51.57 samrand=47.47
[210] pix=45.11 sam=51.77 samrand=47.77
[220] pix=44.96 sam=51.77 samrand=47.74
[230] pix=45.07 sam=51.81 samrand=47.69
[240] pix=44.99 sam=51.92 samrand=47.42
[250] pix=44.75 sam=51.45 samrand=47.44
[260] pix=44.74 sam=51.28 samrand=47.19
[270] pix=44.91 sam=51.36 samrand=47.31
[280] pix=44.71 sam=51.11 samrand=47.16
[290] pix=44.43 sam=50.66 samrand=46.79
[300] pix=44.48 sam=50.71 samrand=46.82
[310] pix=44.29 sam=50.48 samrand=46.75
[320] pix=44.56 sam=50.56 samrand=47.00
[330] pix=44.79 sam=50.90 samrand=47.35
[340] pix=44.97 sam=51.14 samrand=47.73
[350] pix=44.91 sam=51.07 samrand=47.83
[360] pix=45.02 sam=51.23 samrand=47.77
[370] pix=45.11 sam=51.38 samrand=47.66
[380] pix=45.24 sam=51.44 samrand=47.77
[390] pix=45.41 sam=51.72 samrand=47.88
[400] pix=45.55 sam=51.91 samrand=47.97
[410] pix=45.36 sam=51.68 samrand=47.70
[420] pix=45.12 sam=51.52 samrand=47.54
[430] pix=45.46 sam=52.04 samrand=47.99
[440] pix=45.58 sam=52.28 samrand=48.16
[450] pix=45.43 sam=52.21 samrand=48.05
[460] pix=45.22 sam=51.90 samrand=47.84
[470] pix=45.14 sam=51.76 samrand=47.66
[480] pix=45.20 sam=51.83 samrand=47.73
[490] pix=45.31 sam=51.95 samrand=47.86
[500] pix=45.25 sam=51.96 samrand=47.70
[510] pix=45.13 sam=51.79 samrand=47.56
[520] pix=45.08 sam=51.77 samrand=47.37
[530] pix=45.20 sam=51.84 samrand=47.44
[540] pix=45.20 sam=51.84 samrand=47.46
[550] pix=45.29 sam=51.97 samrand=47.57
[560] pix=45.49 sam=52.19 samrand=47.82
[570] pix=45.57 sam=52.30 samrand=47.86
[580] pix=45.62 sam=52.42 samrand=47.99
[590] pix=45.70 sam=52.57 samrand=48.01
[600] pix=45.66 sam=52.60 samrand=47.98
[610] pix=45.61 sam=52.59 samrand=48.06
[620] pix=45.49 sam=52.47 samrand=47.94
[630] pix=45.51 sam=52.45 samrand=47.91
[640] pix=45.54 sam=52.60 samrand=47.87
[650] pix=45.63 sam=52.66 samrand=47.94
[660] pix=45.42 sam=52.45 samrand=47.81
[670] pix=45.33 sam=52.36 samrand=47.68
[680] pix=45.46 sam=52.55 samrand=47.87
[690] pix=45.45 sam=52.53 samrand=47.88
[700] pix=45.46 sam=52.70 samrand=47.66
[710] pix=45.49 sam=52.75 samrand=47.68
[720] pix=45.53 sam=52.86 samrand=47.68
