++ dirname queue_full.sh
+ cd .
+ R=/media/dell/DATA/ovss/runs
+ CK=/media/dell/DATA/ovss/checkpoints/sam_vit_b_01ec64.pth
+ PV=perturbed_vocabs
+ for M in sclip clearclip maskclip naclip
+ python probe_d1sam.py --variant sclip --dataset voc21 --offset 0 --limit 100000 --vabs-vocab perturbed_vocabs/voc21_plain_vabs64.json --rand-vocab perturbed_vocabs/voc21_plain_randneg64.json --sam-ckpt /media/dell/DATA/ovss/checkpoints/sam_vit_b_01ec64.pth --out /media/dell/DATA/ovss/runs/full_voc_sclip.json
/media/dell/DATA/ovss/miniconda3/envs/ovss/lib/python3.10/site-packages/segment_anything/build_sam.py:105: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  state_dict = torch.load(f)
[150] pix=44.00 sam=50.52 samrand=47.14
[160] pix=44.16 sam=50.64 samrand=47.24
[170] pix=43.93 sam=50.63 samrand=46.99
[180] pix=44.11 sam=50.51 samrand=46.75
[190] pix=44.68 sam=51.11 samrand=47.16
[200] pix=44.76 sam=51.57 samrand=47.47
[210] pix=45.11 sam=51.77 samrand=47.77
[220] pix=44.96 sam=51.77 samrand=47.74
[230] pix=45.07 sam=51.81 samrand=47.69
[240] pix=44.99 sam=51.92 samrand=47.42
[250] pix=44.75 sam=51.45 samrand=47.44
[260] pix=44.74 sam=51.28 samrand=47.19
[270] pix=44.91 sam=51.36 samrand=47.31
[280] pix=44.71 sam=51.11 samrand=47.16
[290] pix=44.43 sam=50.66 samrand=46.79
[300] pix=44.48 sam=50.71 samrand=46.82
[310] pix=44.58 sam=51.25 samrand=47.13
[320] pix=44.45 sam=51.43 samrand=47.08
[330] pix=44.44 sam=51.43 samrand=47.05
[340] pix=44.23 sam=51.15 samrand=46.94
[350] pix=44.40 sam=51.29 samrand=47.09
[360] pix=44.33 sam=51.16 samrand=47.09
[370] pix=44.03 sam=50.86 samrand=46.82
[380] pix=44.02 sam=51.15 samrand=46.86
[390] pix=44.00 sam=51.27 samrand=46.87
[400] pix=44.02 sam=51.42 samrand=46.95
[410] pix=43.87 sam=51.19 samrand=46.86
[420] pix=44.12 sam=51.24 samrand=47.07
[430] pix=44.31 sam=51.47 samrand=47.32
[440] pix=44.42 sam=51.59 samrand=47.60
[450] pix=44.39 sam=51.52 samrand=47.65
[460] pix=44.48 sam=51.64 samrand=47.61
[470] pix=44.58 sam=51.79 samrand=47.55
[480] pix=44.71 sam=51.87 samrand=47.64
[490] pix=44.85 sam=52.05 samrand=47.71
[500] pix=44.99 sam=52.23 samrand=47.81
[510] pix=44.87 sam=52.07 samrand=47.62
[520] pix=44.65 sam=51.86 samrand=47.44
[530] pix=44.94 sam=52.30 samrand=47.82
[540] pix=45.05 sam=52.48 samrand=47.95
[550] pix=44.93 sam=52.42 samrand=47.87
[560] pix=44.78 sam=52.16 samrand=47.73
[570] pix=44.73 sam=52.05 samrand=47.59
[580] pix=44.78 sam=52.11 samrand=47.64
[590] pix=44.89 sam=52.21 samrand=47.76
[600] pix=44.84 sam=52.20 samrand=47.62
[610] pix=44.74 sam=52.04 samrand=47.51
