/media/dell/DATA/ovss/miniconda3/envs/ovss/lib/python3.10/site-packages/segment_anything/build_sam.py:105: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  state_dict = torch.load(f)
[1320] pix=34.56 sam=34.96 samrand=34.96
[1330] pix=34.53 sam=34.95 samrand=34.95
[1340] pix=34.59 sam=35.01 samrand=35.01
{
 "pix_vabs": 34.75,
 "sam_reg_vabs": 35.16,
 "sam_reg_rand": 35.16
}
/media/dell/DATA/ovss/miniconda3/envs/ovss/lib/python3.10/site-packages/segment_anything/build_sam.py:105: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  state_dict = torch.load(f)
[10] pix=38.69 sam=46.75 samrand=46.75
[20] pix=27.22 sam=31.59 samrand=31.59
[30] pix=26.98 sam=31.88 samrand=31.88
[40] pix=25.43 sam=29.83 samrand=29.83
[50] pix=27.34 sam=32.32 samrand=32.32
[60] pix=28.19 sam=33.75 samrand=33.75
[70] pix=28.95 sam=34.43 samrand=34.43
[80] pix=30.53 sam=36.23 samrand=36.23
[90] pix=30.58 sam=36.13 samrand=36.13
[100] pix=30.88 sam=36.05 samrand=36.05
[110] pix=30.79 sam=35.99 samrand=35.99
[120] pix=30.77 sam=35.95 samrand=35.95
[130] pix=30.48 sam=35.73 samrand=35.73
[140] pix=30.75 sam=36.11 samrand=36.11
[150] pix=30.98 sam=36.56 samrand=36.56
[160] pix=31.02 sam=36.51 samrand=36.51
[170] pix=30.78 sam=36.18 samrand=36.18
[180] pix=31.08 sam=36.45 samrand=36.45
[190] pix=31.35 sam=36.73 samrand=36.73
[200] pix=31.20 sam=36.82 samrand=36.82
[210] pix=31.51 sam=36.96 samrand=36.96
[220] pix=31.37 sam=36.82 samrand=36.82
[230] pix=31.46 sam=36.85 samrand=36.85
[240] pix=31.44 sam=36.71 samrand=36.71
[250] pix=31.70 sam=36.76 samrand=36.76
[260] pix=31.68 sam=36.81 samrand=36.81
[270] pix=32.08 sam=37.24 samrand=37.24
[280] pix=31.90 sam=37.10 samrand=37.10
[290] pix=31.80 sam=36.97 samrand=36.97
[300] pix=31.76 sam=36.99 samrand=36.99
[310] pix=31.48 sam=36.91 samrand=36.91
[320] pix=31.75 sam=37.19 samrand=37.19
[330] pix=32.07 sam=37.84 samrand=37.84
[340] pix=32.05 sam=37.92 samrand=37.92
[350] pix=31.84 sam=37.71 samrand=37.71
[360] pix=31.88 sam=37.72 samrand=37.72
[370] pix=31.95 sam=37.68 samrand=37.68
[380] pix=32.01 sam=37.80 samrand=37.80
[390] pix=32.07 sam=37.79 samrand=37.79
[400] pix=32.17 sam=37.93 samrand=37.93
[410] pix=32.09 sam=37.90 samrand=37.90
[420] pix=32.00 sam=37.62 samrand=37.62
[430] pix=32.42 sam=38.09 samrand=38.09
[440] pix=32.65 sam=38.56 samrand=38.56
[450] pix=32.48 sam=38.44 samrand=38.44
[460] pix=32.38 sam=38.30 samrand=38.30
[470] pix=32.24 sam=38.14 samrand=38.14
[480] pix=32.31 sam=38.25 samrand=38.25
[490] pix=32.32 sam=38.30 samrand=38.30
[500] pix=32.26 sam=38.28 samrand=38.28
[510] pix=32.17 sam=38.35 samrand=38.35
[520] pix=32.22 sam=38.39 samrand=38.39
[530] pix=32.43 sam=38.60 samrand=38.60
[540] pix=32.30 sam=38.46 samrand=38.46
[550] pix=32.36 sam=38.55 samrand=38.55
[560] pix=32.53 sam=38.69 samrand=38.69
[570] pix=32.50 sam=38.69 samrand=38.69
[580] pix=32.44 sam=38.65 samrand=38.65
[590] pix=32.62 sam=38.86 samrand=38.86
[600] pix=32.57 sam=38.86 samrand=38.86
